,valence
5680,0.574
5681,0.505
5682,0.676
5683,0.343
5684,0.788
5685,0.513
5686,0.339
5687,0.781
5688,0.127
5689,0.667
5690,0.574
5691,0.676
5692,0.505
5693,0.343
5694,0.781
5695,0.513
5696,0.788
5697,0.693
5698,0.667
5699,0.127
5700,0.4
5701,0.528
5702,0.574
5703,0.676
5704,0.761
5705,0.505
5706,0.781
5707,0.343
5708,0.693
5709,0.586
5710,0.4
5711,0.676
5712,0.574
5713,0.685
5714,0.343
5715,0.761
5716,0.505
5717,0.781
5718,0.824
5719,0.513
5720,0.4
5721,0.685
5722,0.574
5723,0.676
5724,0.781
5725,0.343
5726,0.505
5727,0.339
5728,0.761
5729,0.824
5730,0.621
5731,0.4
5732,0.685
5733,0.65
5734,0.574
5735,0.781
5736,0.528
5737,0.676
5738,0.909
5739,0.8
5740,0.4
5741,0.685
5742,0.621
5743,0.65
5744,0.334
5745,0.676
5746,0.781
5747,0.574
5748,0.343
5749,0.466
5750,0.4
5751,0.685
5752,0.621
5753,0.676
5754,0.65
5755,0.513
5756,0.507
5757,0.781
5758,0.343
5759,0.697
5760,0.4
5761,0.621
5762,0.685
5763,0.823
5764,0.334
5765,0.697
5766,0.279
5767,0.676
5768,0.781
5769,0.65
5770,0.4
5771,0.823
5772,0.621
5773,0.685
5774,0.697
5775,0.574
5776,0.279
5777,0.781
5778,0.676
5779,0.66
5780,0.823
5781,0.4
5782,0.697
5783,0.621
5784,0.574
5785,0.685
5786,0.279
5787,0.541
5788,0.676
5789,0.481
5790,0.4
5791,0.823
5792,0.697
5793,0.676
5794,0.621
5795,0.685
5796,0.279
5797,0.574
5798,0.678
5799,0.662
5800,0.4
5801,0.823
5802,0.676
5803,0.697
5804,0.317
5805,0.685
5806,0.279
5807,0.621
5808,0.574
5809,0.588
5810,0.4
5811,0.697
5812,0.676
5813,0.823
5814,0.621
5815,0.279
5816,0.685
5817,0.574
5818,0.678
5819,0.662
5820,0.4
5821,0.697
5822,0.676
5823,0.279
5824,0.621
5825,0.823
5826,0.685
5827,0.662
5828,0.678
5829,0.646
5830,0.4
5831,0.855
5832,0.662
5833,0.697
5834,0.279
5835,0.823
5836,0.678
5837,0.685
5838,0.676
5839,0.621
5840,0.662
5841,0.4
5842,0.855
5843,0.697
5844,0.678
5845,0.279
5846,0.835
5847,0.65
5848,0.685
5849,0.676
5850,0.4
5851,0.835
5852,0.65
5853,0.697
5854,0.662
5855,0.279
5856,0.678
5857,0.823
5858,0.621
5859,0.855
5860,0.835
5861,0.65
5862,0.697
5863,0.4
5864,0.279
5865,0.662
5866,0.678
5867,0.621
5868,0.823
5869,0.676
5870,0.835
5871,0.697
5872,0.786
5873,0.697
5874,0.65
5875,0.678
5876,0.36
5877,0.279
5878,0.4
5879,0.662
5880,0.786
5881,0.697
5882,0.835
5883,0.716
5884,0.36
5885,0.4
5886,0.65
5887,0.662
5888,0.678
5889,0.279
5890,0.565
5891,0.786
5892,0.279
5893,0.697
5894,0.835
5895,0.716
5896,0.65
5897,0.662
5898,0.678
5899,0.36
5900,0.565
5901,0.786
5902,0.698
5903,0.697
5904,0.835
5905,0.716
5906,0.662
5907,0.279
5908,0.65
5909,0.678
5910,0.565
5911,0.393
5912,0.698
5913,0.786
5914,0.697
5915,0.835
5916,0.522
5917,0.65
5918,0.716
5919,0.662
5920,0.565
5921,0.558
5922,0.698
5923,0.786
5924,0.393
5925,0.522
5926,0.697
5927,0.835
5928,0.65
5929,0.662
5930,0.558
5931,0.565
5932,0.698
5933,0.522
5934,0.786
5935,0.697
5936,0.835
5937,0.393
5938,0.586
5939,0.4
5940,0.558
5941,0.565
5942,0.522
5943,0.698
5944,0.393
5945,0.786
5946,0.697
5947,0.36
5948,0.586
5949,0.835
5950,0.558
5951,0.522
5952,0.565
5953,0.698
5954,0.786
5955,0.884
5956,0.393
5957,0.36
5958,0.697
5959,0.802
5960,0.558
5961,0.522
5962,0.698
5963,0.565
5964,0.786
5965,0.36
5966,0.393
5967,0.586
5968,0.884
5969,0.608
5970,0.558
5971,0.522
5972,0.698
5973,0.786
5974,0.884
5975,0.565
5976,0.835
5977,0.393
5978,0.36
5979,0.586
5980,0.558
5981,0.522
5982,0.698
5983,0.906
5984,0.786
5985,0.884
5986,0.36
5987,0.586
5988,0.835
5989,0.565
5990,0.558
5991,0.522
5992,0.906
5993,0.835
5994,0.698
5995,0.786
5996,0.565
5997,0.586
5998,0.884
5999,0.72
6000,0.558
6001,0.962
6002,0.522
6003,0.835
6004,0.698
6005,0.906
6006,0.72
6007,0.884
6008,0.586
6009,0.569
6010,0.558
6011,0.962
6012,0.835
6013,0.72
6014,0.522
6015,0.569
6016,0.698
6017,0.884
6018,0.906
6019,0.586
6020,0.558
6021,0.962
6022,0.72
6023,0.522
6024,0.835
6025,0.569
6026,0.698
6027,0.884
6028,0.906
6029,0.586
6030,0.558
6031,0.962
6032,0.569
6033,0.72
6034,0.835
6035,0.522
6036,0.884
6037,0.698
6038,0.906
6039,0.586
6040,0.558
6041,0.962
6042,0.72
6043,0.569
6044,0.835
6045,0.884
6046,0.522
6047,0.967
6048,0.503
6049,0.698
6050,0.145
6051,0.962
6052,0.558
6053,0.72
6054,0.569
6055,0.884
6056,0.835
6057,0.522
6058,0.707
6059,0.503
6060,0.145
6061,0.558
6062,0.962
6063,0.884
6064,0.838
6065,0.569
6066,0.835
6067,0.72
6068,0.503
6069,0.707
6070,0.145
6071,0.558
6072,0.962
6073,0.838
6074,0.884
6075,0.835
6076,0.72
6077,0.503
6078,0.569
6079,0.707
6080,0.145
6081,0.838
6082,0.558
6083,0.962
6084,0.503
6085,0.884
6086,0.707
6087,0.569
6088,0.835
6089,0.72
6090,0.145
6091,0.838
6092,0.558
6093,0.962
6094,0.391
6095,0.471
6096,0.412
6097,0.503
6098,0.677
6099,0.569
6100,0.145
6101,0.838
6102,0.558
6103,0.962
6104,0.391
6105,0.503
6106,0.698
6107,0.967
6108,0.884
6109,0.608
6110,0.145
6111,0.838
6112,0.558
6113,0.962
6114,0.391
6115,0.503
6116,0.608
6117,0.884
6118,0.967
6119,0.753
6120,0.145
6121,0.838
6122,0.558
6123,0.608
6124,0.962
6125,0.967
6126,0.391
6127,0.698
6128,0.503
6129,0.753
6130,0.145
6131,0.838
6132,0.558
6133,0.962
6134,0.608
6135,0.391
6136,0.503
6137,0.967
6138,0.682
6139,0.569
6140,0.145
6141,0.838
6142,0.558
6143,0.682
6144,0.608
6145,0.391
6146,0.962
6147,0.503
6148,0.828
6149,0.967
6150,0.145
6151,0.838
6152,0.682
6153,0.608
6154,0.558
6155,0.391
6156,0.828
6157,0.503
6158,0.962
6159,0.507
6160,0.145
6161,0.682
6162,0.838
6163,0.558
6164,0.608
6165,0.391
6166,0.608
6167,0.828
6168,0.507
6169,0.503
6170,0.682
6171,0.145
6172,0.838
6173,0.608
6174,0.558
6175,0.391
6176,0.828
6177,0.503
6178,0.608
6179,0.507
6180,0.682
6181,0.145
6182,0.838
6183,0.608
6184,0.558
6185,0.828
6186,0.391
6187,0.503
6188,0.507
6189,0.36
6190,0.682
6191,0.145
6192,0.838
6193,0.608
6194,0.371
6195,0.391
6196,0.558
6197,0.828
6198,0.36
6199,0.503
6200,0.682
6201,0.145
6202,0.391
6203,0.838
6204,0.608
6205,0.371
6206,0.828
6207,0.36
6208,0.507
6209,0.503
6210,0.682
6211,0.145
6212,0.391
6213,0.838
6214,0.608
6215,0.371
6216,0.503
6217,0.36
6218,0.558
6219,0.507
6220,0.682
6221,0.145
6222,0.391
6223,0.838
6224,0.608
6225,0.371
6226,0.503
6227,0.874
6228,0.553
6229,0.507
6230,0.682
6231,0.145
6232,0.391
6233,0.553
6234,0.608
6235,0.642
6236,0.371
6237,0.838
6238,0.962
6239,0.36
6240,0.682
6241,0.145
6242,0.505
6243,0.391
6244,0.371
6245,0.553
6246,0.642
6247,0.838
6248,0.608
6249,0.507
6250,0.505
6251,0.682
6252,0.145
6253,0.371
6254,0.391
6255,0.642
6256,0.553
6257,0.92
6258,0.838
6259,0.443
6260,0.505
6261,0.682
6262,0.145
6263,0.642
6264,0.391
6265,0.371
6266,0.682
6267,0.464
6268,0.507
6269,0.443
6270,0.505
6271,0.682
6272,0.443
6273,0.642
6274,0.964
6275,0.391
6276,0.371
6277,0.145
6278,0.908
6279,0.92
6280,0.443
6281,0.505
6282,0.786
6283,0.682
6284,0.642
6285,0.964
6286,0.391
6287,0.145
6288,0.776
6289,0.371
6290,0.786
6291,0.443
6292,0.505
6293,0.682
6294,0.776
6295,0.186
6296,0.642
6297,0.481
6298,0.145
6299,0.391
6300,0.786
6301,0.443
6302,0.776
6303,0.505
6304,0.481
6305,0.682
6306,0.88
6307,0.642
6308,0.145
6309,0.391
6310,0.786
6311,0.443
6312,0.776
6313,0.481
6314,0.88
6315,0.505
6316,0.682
6317,0.642
6318,0.145
6319,0.372
6320,0.513
6321,0.328
6322,0.413
6323,0.925
6324,0.749
6325,0.537
6326,0.268
6327,0.525
6328,0.33
6329,0.197
6330,0.513
6331,0.925
6332,0.525
6333,0.749
6334,0.413
6335,0.328
6336,0.556
6337,0.268
6338,0.548
6339,0.0978
6340,0.513
6341,0.925
6342,0.749
6343,0.525
6344,0.243
6345,0.413
6346,0.556
6347,0.328
6348,0.562
6349,0.371
6350,0.513
6351,0.749
6352,0.925
6353,0.243
6354,0.525
6355,0.556
6356,0.562
6357,0.328
6358,0.306
6359,0.371
6360,0.513
6361,0.35
6362,0.925
6363,0.749
6364,0.556
6365,0.525
6366,0.243
6367,0.0592
6368,0.317
6369,0.371
6370,0.513
6371,0.35
6372,0.749
6373,0.525
6374,0.925
6375,0.556
6376,0.662
6377,0.218
6378,0.317
6379,0.339
6380,0.513
6381,0.35
6382,0.536
6383,0.832
6384,0.317
6385,0.749
6386,0.525
6387,0.925
6388,0.556
6389,0.884
6390,0.513
6391,0.35
6392,0.832
6393,0.317
6394,0.536
6395,0.884
6396,0.749
6397,0.525
6398,0.925
6399,0.328
6400,0.513
6401,0.749
6402,0.536
6403,0.525
6404,0.884
6405,0.556
6406,0.925
6407,0.0592
6408,0.562
6409,0.553
6410,0.513
6411,0.494
6412,0.749
6413,0.536
6414,0.884
6415,0.556
6416,0.525
6417,0.925
6418,0.874
6419,0.0592
6420,0.513
6421,0.749
6422,0.536
6423,0.494
6424,0.525
6425,0.884
6426,0.925
6427,0.556
6428,0.0592
6429,0.562
6430,0.513
6431,0.884
6432,0.749
6433,0.556
6434,0.536
6435,0.494
6436,0.525
6437,0.0592
6438,0.829
6439,0.925
6440,0.513
6441,0.829
6442,0.884
6443,0.243
6444,0.562
6445,0.749
6446,0.556
6447,0.334
6448,0.525
6449,0.536
6450,0.513
6451,0.884
6452,0.334
6453,0.679
6454,0.749
6455,0.556
6456,0.562
6457,0.525
6458,0.457
6459,0.243
6460,0.513
6461,0.334
6462,0.884
6463,0.679
6464,0.556
6465,0.749
6466,0.525
6467,0.562
6468,0.642
6469,0.243
6470,0.0517
6471,0.513
6472,0.334
6473,0.884
6474,0.679
6475,0.749
6476,0.556
6477,0.246
6478,0.525
6479,0.748
6480,0.334
6481,0.513
6482,0.0517
6483,0.748
6484,0.884
6485,0.679
6486,0.556
6487,0.525
6488,0.749
6489,0.385
6490,0.334
6491,0.513
6492,0.884
6493,0.679
6494,0.529
6495,0.525
6496,0.749
6497,0.556
6498,0.642
6499,0.784
6500,0.334
6501,0.513
6502,0.884
6503,0.679
6504,0.525
6505,0.749
6506,0.642
6507,0.529
6508,0.443
6509,0.183
6510,0.513
6511,0.334
6512,0.679
6513,0.884
6514,0.749
6515,0.525
6516,0.183
6517,0.446
6518,0.529
6519,0.556
6520,0.334
6521,0.513
6522,0.679
6523,0.884
6524,0.863
6525,0.749
6526,0.525
6527,0.608
6528,0.642
6529,0.529
6530,0.513
6531,0.334
6532,0.863
6533,0.183
6534,0.679
6535,0.608
6536,0.884
6537,0.749
6538,0.354
6539,0.525
6540,0.513
6541,0.334
6542,0.863
6543,0.183
6544,0.621
6545,0.884
6546,0.679
6547,0.575
6548,0.525
6549,0.749
6550,0.513
6551,0.334
6552,0.863
6553,0.183
6554,0.685
6555,0.884
6556,0.621
6557,0.679
6558,0.837
6559,0.575
6560,0.334
6561,0.513
6562,0.863
6563,0.183
6564,0.685
6565,0.884
6566,0.621
6567,0.679
6568,0.837
6569,0.575
6570,0.334
6571,0.513
6572,0.476
6573,0.672
6574,0.746
6575,0.194
6576,0.884
6577,0.534
6578,0.28
6579,0.863
6580,0.334
6581,0.863
6582,0.513
6583,0.476
6584,0.746
6585,0.194
6586,0.534
6587,0.748
6588,0.884
6589,0.28
6590,0.393
6591,0.334
6592,0.513
6593,0.863
6594,0.884
6595,0.534
6596,0.476
6597,0.537
6598,0.194
6599,0.434
6600,0.334
6601,0.393
6602,0.513
6603,0.863
6604,0.884
6605,0.282
6606,0.685
6607,0.534
6608,0.661
6609,0.194
6610,0.334
6611,0.393
6612,0.513
6613,0.646
6614,0.863
6615,0.282
6616,0.884
6617,0.905
6618,0.457
6619,0.661
6620,0.334
6621,0.393
6622,0.513
6623,0.863
6624,0.905
6625,0.884
6626,0.646
6627,0.282
6628,0.408
6629,0.457
6630,0.334
6631,0.393
6632,0.863
6633,0.513
6634,0.408
6635,0.905
6636,0.457
6637,0.884
6638,0.247
6639,0.497
6640,0.334
6641,0.567
6642,0.493
6643,0.393
6644,0.863
6645,0.513
6646,0.905
6647,0.408
6648,0.457
6649,0.884
6650,0.334
6651,0.393
6652,0.567
6653,0.408
6654,0.513
6655,0.905
6656,0.863
6657,0.457
6658,0.497
6659,0.493
6660,0.334
6661,0.393
6662,0.905
6663,0.863
6664,0.513
6665,0.457
6666,0.567
6667,0.408
6668,0.497
6669,0.461
6670,0.334
6671,0.863
6672,0.905
6673,0.497
6674,0.457
6675,0.393
6676,0.513
6677,0.567
6678,0.761
6679,0.354
6680,0.334
6681,0.905
6682,0.863
6683,0.497
6684,0.513
6685,0.393
6686,0.457
6687,0.461
6688,0.557
6689,0.501
6690,0.334
6691,0.905
6692,0.863
6693,0.513
6694,0.497
6695,0.457
6696,0.461
6697,0.748
6698,0.501
6699,0.393
6700,0.334
6701,0.905
6702,0.863
6703,0.513
6704,0.457
6705,0.461
6706,0.761
6707,0.497
6708,0.501
6709,0.435
6710,0.334
6711,0.905
6712,0.863
6713,0.513
6714,0.457
6715,0.461
6716,0.761
6717,0.557
6718,0.501
6719,0.884
6720,0.334
6721,0.457
6722,0.905
6723,0.513
6724,0.863
6725,0.461
6726,0.761
6727,0.557
6728,0.532
6729,0.497
6730,0.261
6731,0.457
6732,0.905
6733,0.969
6734,0.461
6735,0.513
6736,0.334
6737,0.17
6738,0.557
6739,0.863
6740,0.261
6741,0.905
6742,0.457
6743,0.513
6744,0.461
6745,0.969
6746,0.557
6747,0.334
6748,0.905
6749,0.17
6750,0.261
6751,0.457
6752,0.905
6753,0.905
6754,0.557
6755,0.969
6756,0.334
6757,0.17
6758,0.513
6759,0.461
6760,0.261
6761,0.905
6762,0.457
6763,0.732
6764,0.905
6765,0.969
6766,0.334
6767,0.557
6768,0.17
6769,0.461
6770,0.467
6771,0.732
6772,0.905
6773,0.905
6774,0.969
6775,0.261
6776,0.557
6777,0.17
6778,0.461
6779,0.782
6780,0.209
6781,0.184
6782,0.732
6783,0.905
6784,0.905
6785,0.467
6786,0.671
6787,0.782
6788,0.455
6789,0.372
6790,0.732
6791,0.616
6792,0.905
6793,0.209
6794,0.905
6795,0.184
6796,0.467
6797,0.261
6798,0.557
6799,0.451
6800,0.732
6801,0.905
6802,0.616
6803,0.209
6804,0.905
6805,0.261
6806,0.467
6807,0.184
6808,0.334
6809,0.557
6810,0.732
6811,0.905
6812,0.905
6813,0.209
6814,0.616
6815,0.184
6816,0.903
6817,0.782
6818,0.334
6819,0.261
6820,0.22
6821,0.266
6822,0.204
6823,0.238
6824,0.905
6825,0.341
6826,0.305
6827,0.418
6828,0.782
6829,0.905
6830,0.305
6831,0.204
6832,0.266
6833,0.732
6834,0.905
6835,0.22
6836,0.341
6837,0.418
6838,0.238
6839,0.261
6840,0.305
6841,0.905
6842,0.732
6843,0.204
6844,0.266
6845,0.22
6846,0.782
6847,0.533
6848,0.418
6849,0.341
6850,0.905
6851,0.305
6852,0.286
6853,0.232
6854,0.204
6855,0.732
6856,0.533
6857,0.286
6858,0.22
6859,0.418
6860,0.493
6861,0.905
6862,0.716
6863,0.232
6864,0.732
6865,0.753
6866,0.286
6867,0.305
6868,0.341
6869,0.418
6870,0.493
6871,0.692
6872,0.716
6873,0.753
6874,0.533
6875,0.905
6876,0.732
6877,0.613
6878,0.35
6879,0.305
6880,0.493
6881,0.35
6882,0.69
6883,0.317
6884,0.613
6885,0.753
6886,0.832
6887,0.533
6888,0.601
6889,0.905
6890,0.35
6891,0.533
6892,0.832
6893,0.493
6894,0.235
6895,0.905
6896,0.732
6897,0.753
6898,0.128
6899,0.418
6900,0.35
6901,0.533
6902,0.832
6903,0.235
6904,0.493
6905,0.434
6906,0.946
6907,0.905
6908,0.418
6909,0.753
6910,0.35
6911,0.317
6912,0.832
6913,0.533
6914,0.434
6915,0.591
6916,0.235
6917,0.946
6918,0.326
6919,0.276
6920,0.248
6921,0.235
6922,0.905
6923,0.276
6924,0.732
6925,0.334
6926,0.946
6927,0.753
6928,0.584
6929,0.716
6930,0.235
6931,0.137
6932,0.973
6933,0.276
6934,0.905
6935,0.644
6936,0.248
6937,0.732
6938,0.334
6939,0.946
6940,0.137
6941,0.235
6942,0.973
6943,0.276
6944,0.435
6945,0.905
6946,0.644
6947,0.418
6948,0.472
6949,0.732
6950,0.137
6951,0.765
6952,0.235
6953,0.435
6954,0.276
6955,0.472
6956,0.905
6957,0.644
6958,0.732
6959,0.418
6960,0.765
6961,0.137
6962,0.281
6963,0.235
6964,0.472
6965,0.435
6966,0.64
6967,0.905
6968,0.644
6969,0.732
6970,0.281
6971,0.644
6972,0.137
6973,0.472
6974,0.235
6975,0.64
6976,0.765
6977,0.435
6978,0.276
6979,0.905
6980,0.281
6981,0.64
6982,0.472
6983,0.644
6984,0.235
6985,0.435
6986,0.137
6987,0.793
6988,0.683
6989,0.153
6990,0.472
6991,0.276
6992,0.64
6993,0.281
6994,0.435
6995,0.137
6996,0.235
6997,0.644
6998,0.153
6999,0.467
7000,0.472
7001,0.64
7002,0.467
7003,0.235
7004,0.435
7005,0.137
7006,0.281
7007,0.276
7008,0.644
7009,0.973
7010,0.472
7011,0.235
7012,0.467
7013,0.64
7014,0.435
7015,0.137
7016,0.644
7017,0.281
7018,0.276
7019,0.732
7020,0.472
7021,0.467
7022,0.334
7023,0.235
7024,0.64
7025,0.435
7026,0.137
7027,0.644
7028,0.276
7029,0.732
7030,0.472
7031,0.467
7032,0.235
7033,0.732
7034,0.464
7035,0.64
7036,0.435
7037,0.137
7038,0.334
7039,0.517
7040,0.472
7041,0.464
7042,0.467
7043,0.235
7044,0.644
7045,0.64
7046,0.801
7047,0.732
7048,0.54
7049,0.71
7050,0.71
7051,0.467
7052,0.464
7053,0.672
7054,0.64
7055,0.235
7056,0.472
7057,0.644
7058,0.801
7059,0.54
7060,0.71
7061,0.467
7062,0.64
7063,0.464
7064,0.54
7065,0.644
7066,0.276
7067,0.235
7068,0.517
7069,0.801
7070,0.71
7071,0.711
7072,0.464
7073,0.64
7074,0.54
7075,0.235
7076,0.801
7077,0.517
7078,0.644
7079,0.467
7080,0.71
7081,0.593
7082,0.511
7083,0.517
7084,0.376
7085,0.801
7086,0.33
7087,0.64
7088,0.915
7089,0.464
7090,0.33
7091,0.511
7092,0.71
7093,0.208
7094,0.593
7095,0.517
7096,0.801
7097,0.915
7098,0.64
7099,0.464
7100,0.71
7101,0.33
7102,0.511
7103,0.801
7104,0.711
7105,0.915
7106,0.593
7107,0.64
7108,0.517
7109,0.314
7110,0.513
7111,0.46
7112,0.394
7113,0.529
7114,0.0978
7115,0.553
7116,0.749
7117,0.779
7118,0.821
7119,0.179
7120,0.513
7121,0.46
7122,0.394
7123,0.529
7124,0.749
7125,0.553
7126,0.0978
7127,0.679
7128,0.779
7129,0.399
7130,0.513
7131,0.686
7132,0.46
7133,0.749
7134,0.529
7135,0.243
7136,0.27
7137,0.679
7138,0.553
7139,0.779
7140,0.513
7141,0.686
7142,0.832
7143,0.35
7144,0.679
7145,0.529
7146,0.46
7147,0.243
7148,0.556
7149,0.394
7150,0.832
7151,0.513
7152,0.686
7153,0.35
7154,0.298
7155,0.468
7156,0.679
7157,0.243
7158,0.529
7159,0.22
7160,0.832
7161,0.513
7162,0.686
7163,0.35
7164,0.298
7165,0.679
7166,0.468
7167,0.243
7168,0.259
7169,0.529
7170,0.832
7171,0.259
7172,0.686
7173,0.513
7174,0.35
7175,0.298
7176,0.468
7177,0.243
7178,0.349
7179,0.679
7180,0.832
7181,0.259
7182,0.35
7183,0.513
7184,0.298
7185,0.349
7186,0.686
7187,0.468
7188,0.31
7189,0.393
7190,0.513
7191,0.553
7192,0.679
7193,0.686
7194,0.556
7195,0.393
7196,0.749
7197,0.243
7198,0.779
7199,0.529
7200,0.513
7201,0.553
7202,0.393
7203,0.494
7204,0.679
7205,0.556
7206,0.686
7207,0.334
7208,0.243
7209,0.179
7210,0.513
7211,0.393
7212,0.508
7213,0.494
7214,0.679
7215,0.334
7216,0.686
7217,0.556
7218,0.553
7219,0.489
7220,0.513
7221,0.334
7222,0.393
7223,0.494
7224,0.679
7225,0.686
7226,0.556
7227,0.553
7228,0.829
7229,0.262
7230,0.334
7231,0.513
7232,0.243
7233,0.679
7234,0.494
7235,0.393
7236,0.405
7237,0.686
7238,0.556
7239,0.553
7240,0.334
7241,0.629
7242,0.513
7243,0.679
7244,0.243
7245,0.393
7246,0.494
7247,0.556
7248,0.553
7249,0.686
7250,0.334
7251,0.357
7252,0.513
7253,0.679
7254,0.629
7255,0.874
7256,0.556
7257,0.686
7258,0.494
7259,0.393
7260,0.334
7261,0.0517
7262,0.712
7263,0.357
7264,0.513
7265,0.679
7266,0.874
7267,0.556
7268,0.629
7269,0.183
7270,0.334
7271,0.357
7272,0.513
7273,0.0517
7274,0.679
7275,0.712
7276,0.874
7277,0.629
7278,0.556
7279,0.519
7280,0.357
7281,0.334
7282,0.513
7283,0.679
7284,0.874
7285,0.589
7286,0.712
7287,0.519
7288,0.569
7289,0.0517
7290,0.357
7291,0.334
7292,0.513
7293,0.637
7294,0.679
7295,0.874
7296,0.712
7297,0.779
7298,0.183
7299,0.322
7300,0.334
7301,0.775
7302,0.357
7303,0.718
7304,0.513
7305,0.679
7306,0.629
7307,0.874
7308,0.637
7309,0.779
7310,0.334
7311,0.357
7312,0.637
7313,0.679
7314,0.513
7315,0.717
7316,0.775
7317,0.629
7318,0.779
7319,0.874
7320,0.334
7321,0.513
7322,0.357
7323,0.679
7324,0.629
7325,0.589
7326,0.637
7327,0.863
7328,0.874
7329,0.775
7330,0.334
7331,0.513
7332,0.837
7333,0.357
7334,0.679
7335,0.589
7336,0.354
7337,0.637
7338,0.629
7339,0.775
7340,0.837
7341,0.739
7342,0.334
7343,0.679
7344,0.357
7345,0.513
7346,0.589
7347,0.629
7348,0.637
7349,0.863
7350,0.837
7351,0.739
7352,0.334
7353,0.357
7354,0.513
7355,0.679
7356,0.637
7357,0.779
7358,0.476
7359,0.589
7360,0.205
7361,0.334
7362,0.28
7363,0.739
7364,0.837
7365,0.476
7366,0.637
7367,0.433
7368,0.513
7369,0.357
7370,0.334
7371,0.205
7372,0.739
7373,0.446
7374,0.433
7375,0.837
7376,0.28
7377,0.513
7378,0.357
7379,0.476
7380,0.393
7381,0.334
7382,0.497
7383,0.537
7384,0.433
7385,0.205
7386,0.739
7387,0.837
7388,0.513
7389,0.357
7390,0.512
7391,0.393
7392,0.334
7393,0.598
7394,0.205
7395,0.433
7396,0.457
7397,0.537
7398,0.717
7399,0.497
7400,0.334
7401,0.393
7402,0.497
7403,0.646
7404,0.512
7405,0.476
7406,0.598
7407,0.205
7408,0.717
7409,0.681
7410,0.334
7411,0.497
7412,0.393
7413,0.598
7414,0.512
7415,0.681
7416,0.476
7417,0.646
7418,0.205
7419,0.717
7420,0.334
7421,0.497
7422,0.393
7423,0.681
7424,0.598
7425,0.646
7426,0.512
7427,0.476
7428,0.717
7429,0.205
7430,0.373
7431,0.732
7432,0.598
7433,0.681
7434,0.493
7435,0.646
7436,0.717
7437,0.334
7438,0.497
7439,0.476
7440,0.373
7441,0.732
7442,0.557
7443,0.681
7444,0.717
7445,0.598
7446,0.334
7447,0.761
7448,0.646
7449,0.493
7450,0.809
7451,0.732
7452,0.557
7453,0.373
7454,0.761
7455,0.334
7456,0.717
7457,0.681
7458,0.905
7459,0.646
7460,0.497
7461,0.809
7462,0.732
7463,0.761
7464,0.557
7465,0.717
7466,0.905
7467,0.373
7468,0.334
7469,0.408
7470,0.497
7471,0.732
7472,0.809
7473,0.557
7474,0.761
7475,0.373
7476,0.717
7477,0.905
7478,0.334
7479,0.681
7480,0.732
7481,0.761
7482,0.497
7483,0.557
7484,0.809
7485,0.0396
7486,0.905
7487,0.717
7488,0.334
7489,0.485
7490,0.732
7491,0.0396
7492,0.551
7493,0.497
7494,0.809
7495,0.557
7496,0.717
7497,0.905
7498,0.761
7499,0.485
7500,0.505
7501,0.497
7502,0.0396
7503,0.905
7504,0.717
7505,0.557
7506,0.761
7507,0.732
7508,0.334
7509,0.632
7510,0.0396
7511,0.505
7512,0.905
7513,0.497
7514,0.557
7515,0.717
7516,0.732
7517,0.761
7518,0.269
7519,0.632
7520,0.505
7521,0.0396
7522,0.905
7523,0.557
7524,0.761
7525,0.732
7526,0.717
7527,0.357
7528,0.632
7529,0.761
7530,0.0396
7531,0.505
7532,0.737
7533,0.905
7534,0.357
7535,0.557
7536,0.717
7537,0.905
7538,0.761
7539,0.497
7540,0.732
7541,0.505
7542,0.0396
7543,0.357
7544,0.737
7545,0.905
7546,0.905
7547,0.497
7548,0.717
7549,0.557
7550,0.732
7551,0.357
7552,0.0396
7553,0.505
7554,0.905
7555,0.905
7556,0.232
7557,0.962
7558,0.737
7559,0.732
7560,0.732
7561,0.357
7562,0.0396
7563,0.905
7564,0.232
7565,0.905
7566,0.505
7567,0.962
7568,0.497
7569,0.795
7570,0.893
7571,0.357
7572,0.0396
7573,0.232
7574,0.732
7575,0.905
7576,0.905
7577,0.462
7578,0.737
7579,0.505
7580,0.732
7581,0.507
7582,0.0396
7583,0.232
7584,0.905
7585,0.357
7586,0.462
7587,0.372
7588,0.737
7589,0.962
7590,0.732
7591,0.0396
7592,0.905
7593,0.962
7594,0.893
7595,0.232
7596,0.462
7597,0.372
7598,0.795
7599,0.357
7600,0.732
7601,0.557
7602,0.0396
7603,0.962
7604,0.232
7605,0.905
7606,0.372
7607,0.462
7608,0.795
7609,0.753
7610,0.557
7611,0.215
7612,0.732
7613,0.0396
7614,0.962
7615,0.372
7616,0.232
7617,0.462
7618,0.753
7619,0.905
7620,0.682
7621,0.557
7622,0.732
7623,0.962
7624,0.215
7625,0.0396
7626,0.232
7627,0.372
7628,0.753
7629,0.905
7630,0.627
7631,0.682
7632,0.557
7633,0.215
7634,0.962
7635,0.732
7636,0.372
7637,0.905
7638,0.232
7639,0.383
7640,0.627
7641,0.682
7642,0.962
7643,0.215
7644,0.557
7645,0.372
7646,0.732
7647,0.232
7648,0.753
7649,0.905
7650,0.716
7651,0.682
7652,0.627
7653,0.732
7654,0.372
7655,0.962
7656,0.215
7657,0.905
7658,0.232
7659,0.753
7660,0.692
7661,0.35
7662,0.832
7663,0.716
7664,0.682
7665,0.732
7666,0.372
7667,0.627
7668,0.232
7669,0.905
7670,0.35
7671,0.832
7672,0.591
7673,0.298
7674,0.854
